date,stock,bond,gold,realt,rfr
1987-01-31,NA,NA,NA,NA,0.0010829974960615552
1987-02-28,0.04843749999999991,0.007257341403272832,0.013358302122347121,0.006275986506629083,0.0010829974960615552
1987-03-31,0.023845007451564815,-0.005313378028764637,0.037329062461500584,0.005238949091759482,0.0011313986640417717
1987-04-30,-0.01601164483260553,-0.030931871574001568,0.07660332541567705,0.007848490018768084,0.0012556707624673535
1987-05-31,0.00591715976331364,-0.006147186147186123,-0.004964147821290732,0.008849285131661722,0.0013066690559264682
1987-06-30,0.044117647058823595,0.015535615762116484,-0.008203991130820376,0.010205638271906459,0.0012865971097748563
1987-07-31,0.04507042253521121,-0.005004003202562002,0.03398166778448464,0.008532036665106268,0.0013159250304384251
1987-08-31,0.037735849056603765,-0.00801793258039496,-0.01967567567567574,0.007202108226274984,0.0013636673132246813
1987-09-30,-0.020779220779220786,-0.024364099889912616,0.013453903837671088,0.005277476325687314,0.0014694527261884804
1987-10-31,-0.22811671087533159,0.029693856341123093,0.020239390642002197,0.004155452367572865,0.0013405829781989453
1987-11-30,-0.07044673539518898,0.016322057848141558,0.050554607508532357,0.0028128359571739647,0.0013498204802957492
1987-12-31,0.07208872458410354,0.014868200777459428,-0.017055837563451748,0.0037007665873647344,0.001334421849056966
1988-01-31,0.0431034482758621,0.038303464087007466,-0.05391448047923986,0.003482281333216264,0.0012463818576324837
1988-02-29,0.05289256198347103,0.016802649648598456,-0.06954148471615729,0.004840779190481648,0.0012277887807732313
1988-03-31,-0.01569858712715866,-0.011387410291041067,0.07227502053267632,0.00592025074003133,0.001289686647078403
1988-04-30,0.011164274322169154,-0.00991133374407327,-0.017397964766385776,0.006693208701171294,0.001334421849056966
1988-05-31,0.001577287066246047,-0.007575552609507374,0.014476614699331813,0.00888404883361038,0.0013959327253432186
1988-06-30,0.051968503937007915,0.026853139227392964,-0.04160263446761803,0.009345528917168444,0.001346741871539603
1988-07-31,-0.007485029940119681,-7.433759889556857e-4,5.726720879624114e-4,0.008696141614836783,0.0013990024251482325
1988-08-31,-0.02865761689291091,0.006642223284977877,-0.020718864468864506,0.006975057195468981,0.0014296689269803764
1988-09-30,0.03881987577639756,0.022724873310810745,-0.07258912916423144,0.005402859359414869,0.0013775028584155358
1988-10-31,0.01943198804185342,0.016129448501896793,0.03957650617595165,0.0034309807920192004,0.0013405829781989453
1988-11-30,-0.017595307917888547,-0.007314471478640727,0.024733268671193187,0.003336857860840592,0.0014235400575797197
1988-12-31,0.020895522388059584,0.0043749680192395335,-0.0292238523426408,0.002915172583691339,0.0014587508729670962
1989-01-31,0.06871345029239762,0.01383192806378486,-0.03960999390615483,0.0046261548328989655,0.0014495724824721279
1989-02-28,-0.01641586867305056,-0.0064824120603014235,-0.017766497461928932,0.004767855687467737,0.001501517861588031
1989-03-31,0.022253129346314182,0.005588993981083368,-0.009819121447028456,0.005975476213008202,0.0015182897423346997
1989-04-30,0.04897959183673484,0.018233030706938713,-0.014744258872651295,0.006155003964467554,0.0014465119157258677
1989-05-31,0.04150453955901412,0.030675755779490332,-0.04171632896305122,0.00571665175172642,0.0013836483712383885
1989-06-30,-0.0062266500622664145,0.030865085070692633,0.03095632946379201,0.005312296638644298,0.0012881419487322798
1989-07-31,0.07894736842105243,0.019201264586917066,-0.012600536193029477,0.004557644292376262,0.0012153820691060968
1989-08-31,0.022067363530778206,-0.013023446765806024,-0.023079011675264716,0.0030246442755317293,0.0013251759596339951
1989-09-30,-0.001136363636363824,0.005037783375314797,0.01862145636464696,0.001966645689112756,0.0013390429055837316
1989-10-31,-0.029579067121729197,0.020693936676553726,0.02401091405184186,8.89796132003795e-4,0.001261860542246973
1989-11-30,0.017584994138335253,0.005902097271969442,0.08752997601918455,4.314289449600661e-4,0.001243284425811897
1989-12-31,0.018433179723502224,0.003247262222023206,-0.02339826044346427,-3.136311958495952e-4,0.001261860542246973
1990-01-31,-0.07352941176470595,-0.014420286619938438,0.04126944305067726,3.660178564426353e-4,0.001337502693205428
1990-02-28,0.01587301587301604,0.004212719695597,-0.017708709794000743,7.840370065468338e-4,0.0013513595752845386
1990-03-31,0.02524038461538458,0.003315440479949583,-0.09614912926171204,0.0026505803857050925,0.0013836483712383885
1990-04-30,-0.029308323563892125,-0.011284702708778349,-0.002035278154681186,0.00324260971480661,0.0014434507970213506
1990-05-31,0.09178743961352653,0.027647045449378238,-0.012780421481984994,0.0033619335661159155,0.0013698178368652947
1990-06-30,-0.004424778761061843,0.016792406911657176,-0.029885690676215493,0.0026779476829930093,0.001337502693205428
1990-07-31,-0.010000000000000009,0.013055398407241459,0.05706984667802395,6.967292432746852e-4,0.0013035826089482505
1990-08-31,-0.09427609427609429,-0.017784269083723436,0.0414987912973408,-0.0010572596346006824,0.0013605912153777933
1990-09-30,-0.054522924411400275,0.004242291712224011,0.05325596389426179,-0.003226764071918131,0.001355976023001082
1990-10-31,-0.013106159895150626,0.008230990331852484,-0.07076395690499504,-0.0040918331671565555,0.0013205511253542301
1990-11-30,0.06772908366533859,0.020733445639497194,0.014097496706192425,-0.006917085982499405,0.0012695945935166097
1990-12-31,0.031094527363184188,0.017730946637890987,0.0035078602052747154,-0.005354875031094775,0.001233988736809355
1991-01-31,0.049457177322074886,0.0113097713097714,-0.052304505437597126,-0.00576543372383842,0.0012246879531190302
1991-02-28,0.07701149425287346,0.012725104843351653,-0.00901639344262295,-0.0037202774982787457,0.0012308890419336915
1991-03-31,0.030949839914621302,0.012950896210137453,-0.01943755169561623,-0.001488352314255037,0.0012417354978704331
